dimensjon,nivå,nivå_tittel,nivå_beskrivelse,signal_label,signal_value,kommentar
handlinger,1,Tilbaketrekning,Kroppen søker rask lindring eller stenger ned,Scroller,scroller,
handlinger,1,Tilbaketrekning,Kroppen søker rask lindring eller stenger ned,Utsetter,utsetter,
handlinger,1,Tilbaketrekning,Kroppen søker rask lindring eller stenger ned,Unnviker,unnviker,
handlinger,1,Tilbaketrekning,Kroppen søker rask lindring eller stenger ned,Overspiser,overspiser,
handlinger,1,Tilbaketrekning,Kroppen søker rask lindring eller stenger ned,Isolerer seg,isolerer,
handlinger,1,Tilbaketrekning,Kroppen søker rask lindring eller stenger ned,Tøyer leggetid,toyer_leggetid,
handlinger,1,Tilbaketrekning,Kroppen søker rask lindring eller stenger ned,Kommer ikke i gang,kommer_ikke_i_gang,
handlinger,1,Tilbaketrekning,Kroppen søker rask lindring eller stenger ned,Numner seg,numner,
handlinger,1,Tilbaketrekning,Kroppen søker rask lindring eller stenger ned,Krasjer,krasjer,sovner på sofaen / kroppen gir opp
handlinger,2,Friksjon,Energien kommer ut feil,Snapper,snapper,
handlinger,2,Friksjon,Energien kommer ut feil,Klager,klager,
handlinger,2,Friksjon,Energien kommer ut feil,Irriterer seg,irriterer,
handlinger,2,Friksjon,Energien kommer ut feil,Går i lås,gar_i_las,
handlinger,2,Friksjon,Energien kommer ut feil,Utålmodig,utalmodig,
handlinger,2,Friksjon,Energien kommer ut feil,Kritiserer,kritiserer,
handlinger,2,Friksjon,Energien kommer ut feil,Mister filter,mister_filter,
handlinger,3,Vedlikehold,Holder hverdagen i gang,Vedlikeholder,vedlikeholder,
handlinger,3,Vedlikehold,Holder hverdagen i gang,Følger rutiner,folger_rutiner,
handlinger,3,Vedlikehold,Holder hverdagen i gang,Ordner småting,ordner_smating,
handlinger,3,Vedlikehold,Holder hverdagen i gang,Funksjonerer,funksjonerer,
handlinger,3,Vedlikehold,Holder hverdagen i gang,Autopilot,autopilot,
handlinger,3,Vedlikehold,Holder hverdagen i gang,Kommer seg ut,kommer_seg_ut,
handlinger,3,Vedlikehold,Holder hverdagen i gang,Rydder hauger,rydder_hauger,
handlinger,3,Vedlikehold,Holder hverdagen i gang,Elsykler / lett tur,lett_aktivitet,
handlinger,4,Innsats,Gjør noe som koster litt men bygger retning,Tar tak,tar_tak,
handlinger,4,Innsats,Gjør noe som koster litt men bygger retning,Trener bærekraftig,trener_barekraftig,
handlinger,4,Innsats,Gjør noe som koster litt men bygger retning,Fullfører,fullforer,
handlinger,4,Innsats,Gjør noe som koster litt men bygger retning,Fokuserer,fokuserer,
handlinger,4,Innsats,Gjør noe som koster litt men bygger retning,Holder kontakt,holder_kontakt,
handlinger,4,Innsats,Gjør noe som koster litt men bygger retning,Strekker seg,strekker_seg,
handlinger,4,Innsats,Gjør noe som koster litt men bygger retning,Rydder ferdig,rydder_ferdig,
handlinger,4,Innsats,Gjør noe som koster litt men bygger retning,Vasker klær,vasker_klaer,
handlinger,5,Overskudd,Tar initiativ som gir noe tilbake,Initierer,initierer,
handlinger,5,Overskudd,Tar initiativ som gir noe tilbake,Utfordrer seg,utfordrer,
handlinger,5,Overskudd,Tar initiativ som gir noe tilbake,Skaper,skaper,
handlinger,5,Overskudd,Tar initiativ som gir noe tilbake,Gir av seg selv,gir_av_seg,
handlinger,5,Overskudd,Tar initiativ som gir noe tilbake,Leder an,leder_an,
handlinger,5,Overskudd,Tar initiativ som gir noe tilbake,Står i det,star_i_det,
handlinger,5,Overskudd,Tar initiativ som gir noe tilbake,Trener offensivt,trener_offensivt,
følelser,1,Oversvømmelse,Følelsene tar over / lite filter,Rasende,rasende,
følelser,1,Oversvømmelse,Følelsene tar over / lite filter,Håpløs,haplos,
følelser,1,Oversvømmelse,Følelsene tar over / lite filter,Desperat,desperat,
følelser,1,Oversvømmelse,Følelsene tar over / lite filter,Apatisk,apatisk,
følelser,1,Oversvømmelse,Følelsene tar over / lite filter,Panisk,panisk,
følelser,1,Oversvømmelse,Følelsene tar over / lite filter,Nummen,nummen,
følelser,1,Oversvømmelse,Følelsene tar over / lite filter,Ute av meg,ute_av_meg,
følelser,1,Oversvømmelse,Følelsene tar over / lite filter,Manisk,manisk,
følelser,1,Oversvømmelse,Følelsene tar over / lite filter,Dissosiert,dissosiert,
følelser,1,Oversvømmelse,Følelsene tar over / lite filter,Paranoid,paranoid,
følelser,2,Tyngde,Det er tungt men du er tilstede,Trist,trist,
følelser,2,Tyngde,Det er tungt men du er tilstede,Skuffet,skuffet,
følelser,2,Tyngde,Det er tungt men du er tilstede,Overveldet,overveldet,
følelser,2,Tyngde,Det er tungt men du er tilstede,Ensom,ensom,
følelser,2,Tyngde,Det er tungt men du er tilstede,Likegyldig,likegyldig,
følelser,2,Tyngde,Det er tungt men du er tilstede,Tung,tung,
følelser,2,Tyngde,Det er tungt men du er tilstede,Frustrert,frustrert,
følelser,2,Tyngde,Det er tungt men du er tilstede,Kort lunte,kort_lunte,
følelser,3,Jevnt,Ikke sterke følelser / stabilt,OK,ok,
følelser,3,Jevnt,Ikke sterke følelser / stabilt,Flat,flat,
følelser,3,Jevnt,Ikke sterke følelser / stabilt,Nøytral,noytral,
følelser,3,Jevnt,Ikke sterke følelser / stabilt,Stabil,stabil,
følelser,3,Jevnt,Ikke sterke følelser / stabilt,Avventende,avventende,
følelser,4,Varme,Positive følelser som gir energi,Glad,glad,
følelser,4,Varme,Positive følelser som gir energi,Tilfreds,tilfreds,
følelser,4,Varme,Positive følelser som gir energi,Takknemlig,takknemlig,
følelser,4,Varme,Positive følelser som gir energi,Trygg,trygg,
følelser,4,Varme,Positive følelser som gir energi,Nysgjerrig,nysgjerrig,
følelser,4,Varme,Positive følelser som gir energi,Lettet,lettet,
følelser,4,Varme,Positive følelser som gir energi,Stolt,stolt,
følelser,5,Fylde,Dype bærende følelser,Balansert,balansert,
følelser,5,Fylde,Dype bærende følelser,Robust,robust,
følelser,5,Fylde,Dype bærende følelser,Empatisk,empatisk,
følelser,5,Fylde,Dype bærende følelser,Kjærlig,kjaerlig,
følelser,5,Fylde,Dype bærende følelser,Inspirert,inspirert,
følelser,5,Fylde,Dype bærende følelser,Rolig styrke,rolig_styrke,
tanker,1,Kaos,Tankene styrer deg / ikke omvendt,Kverner,kverner,
tanker,1,Kaos,Tankene styrer deg / ikke omvendt,Katastroferer,katastroferer,
tanker,1,Kaos,Tankene styrer deg / ikke omvendt,Spiralerer,spiralerer,
tanker,1,Kaos,Tankene styrer deg / ikke omvendt,Mister oversikt,mister_oversikt,
tanker,1,Kaos,Tankene styrer deg / ikke omvendt,Klarer ikke stoppe,klarer_ikke_stoppe,
tanker,1,Kaos,Tankene styrer deg / ikke omvendt,Tvangstenker,tvangstenker,
tanker,1,Kaos,Tankene styrer deg / ikke omvendt,Dissosierer,dissosierer,
tanker,2,Grums,Tankene er tunge og gjentakende,Grubler,grubler,
tanker,2,Grums,Tankene er tunge og gjentakende,Bekymrer seg,bekymrer,
tanker,2,Grums,Tankene er tunge og gjentakende,Selvkritiserer,selvkritiserer,
tanker,2,Grums,Tankene er tunge og gjentakende,Sammenligner,sammenligner,
tanker,2,Grums,Tankene er tunge og gjentakende,Nøler,noler,
tanker,2,Grums,Tankene er tunge og gjentakende,Leter etter feil,leter_etter_feil,
tanker,2,Grums,Tankene er tunge og gjentakende,Hjernetåke,hjernetake,
tanker,3,Sortering,Tankene er i gang med å rydde,Sorterer,sorterer,
tanker,3,Sortering,Tankene er i gang med å rydde,Avklarer,avklarer,
tanker,3,Sortering,Tankene er i gang med å rydde,Prosesserer,prosesserer,
tanker,3,Sortering,Tankene er i gang med å rydde,Vurderer,vurderer,
tanker,3,Sortering,Tankene er i gang med å rydde,Navngir,navngir,
tanker,3,Sortering,Tankene er i gang med å rydde,Ser mønster,ser_monster,
tanker,4,Klarhet,Du tenker med retning,Reflekterer,reflekterer,
tanker,4,Klarhet,Du tenker med retning,Fokuserer,fokuserer_tanker,
tanker,4,Klarhet,Du tenker med retning,Kobler,kobler,
tanker,4,Klarhet,Du tenker med retning,Utforsker,utforsker,
tanker,4,Klarhet,Du tenker med retning,Forstår,forstar,
tanker,4,Klarhet,Du tenker med retning,Løser,loser,
tanker,5,Horisont,Du ser fremover med ro,Planlegger,planlegger,
tanker,5,Horisont,Du ser fremover med ro,Foregriper,foregriper,
tanker,5,Horisont,Du ser fremover med ro,Visualiserer,visualiserer,
tanker,5,Horisont,Du ser fremover med ro,Syntetiserer,syntetiserer,
tanker,5,Horisont,Du ser fremover med ro,Ser helhet,ser_helhet,
